Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Month,Month End Characters,Month No.
43,CA-2016-101343,Sunday 17 July 2016,Friday 22 July 2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$78,2,0,$4,Jul,y,7
514,CA-2017-163405,Thursday 21 December 2017,Monday 25 December 2017,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,$7,3,0,$2,Dec,ember,12
515,CA-2017-163405,Thursday 21 December 2017,Monday 25 December 2017,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,$6,2,0,$2,Dec,ember,12
1606,US-2016-115819,Tuesday 19 April 2016,Sunday 24 April 2016,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10000823,Office Supplies,Art,Newell 307,$5,3,0,$2,Apr,il,4
1607,US-2016-115819,Tuesday 19 April 2016,Sunday 24 April 2016,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,$73,5,0,$21,Apr,il,4
1609,US-2016-115819,Tuesday 19 April 2016,Sunday 24 April 2016,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",$23,4,0,$10,Apr,il,4
1807,US-2016-116729,Sunday 25 December 2016,Wednesday 28 December 2016,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,$45,7,0,$22,Dec,ember,12
2060,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-FA-10002975,Office Supplies,Fasteners,Staples,$11,3,0,$5,Oct,ober,10
2061,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003996,Office Supplies,Storage,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",$80,5,0,$21,Oct,ober,10
2063,CA-2014-106439,Friday 31 October 2014,Tuesday 4 November 2014,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,$65,13,0,$30,Oct,ober,10
